"","w_value","p_value"
"213",0.311456002656028,5.07744013719229e-07
"214",0.311712659869369,5.09630773496171e-07
"215",0.311623507548275,5.08974546122361e-07
"216",0.312831274369225,5.17941486837711e-07
"217",0.312808654508465,5.17772013417137e-07
"218",0.313030079433345,5.19433521258372e-07
"219",0.313081050302058,5.19816793709739e-07
"220",0.312002017110007,5.11766862266461e-07
"221",0.312410315554872,5.14797202409868e-07
"222",0.311948332390713,5.11369833746364e-07
"223",0.31146447013065,5.07806141927652e-07
"224",0.313827256809694,5.25462400299552e-07
"225",0.311742365909192,5.0984963176843e-07
"226",0.312574504082963,5.16021161751566e-07
"227",0.311858951398769,5.10709537559333e-07
"228",0.320484775100945,5.78814110161377e-07
"229",0.311695652215105,5.09505515122557e-07
"230",0.311775055649181,5.10090587830372e-07
"231",0.31410441180428,5.27575854102537e-07
"232",0.31195508045019,5.1141972142228e-07
"233",0.311714501508179,5.09644338805305e-07
"234",0.312300885181682,5.13983157256058e-07
"235",0.312230083688403,5.13457198916865e-07
"236",0.31145916788075,5.07767236904618e-07
"237",0.311771427059664,5.10063835526356e-07
"238",0.312281092400463,5.13836066288479e-07
"239",0.312700846450909,5.16965099234873e-07
"240",0.311771181064883,5.10062021948041e-07
"241",0.311336628446917,5.06868991499425e-07
"242",0.312510095424997,5.15540652802349e-07
"243",0.31168004424407,5.09390593967258e-07
"244",0.313927638370569,5.26226821455755e-07
"245",0.312420637083325,5.14874054266236e-07
"246",0.311623569164753,5.08974999355128e-07
"247",0.31419450575532,5.28264813010564e-07
"248",0.311776970578155,5.10104706524061e-07
"249",0.312306002392868,5.1402119332919e-07
"250",0.311944578450609,5.11342083511518e-07
"251",0.314031014100257,5.27015279438248e-07
"252",0.31261582796239,5.16329701661947e-07
"253",0.311831789970776,5.10509063909623e-07
"254",0.311754984134232,5.09942626358874e-07
"255",0.312215087233017,5.13345869193411e-07
"256",0.311622213150697,5.08965025012038e-07
"257",0.311914014600234,5.1111620606377e-07
"258",0.311775620099411,5.10094749455852e-07
"259",0.311748661180984,5.0989602480566e-07
"260",0.311575704662086,5.08623051342647e-07
"261",0.311888014128554,5.10924137063069e-07
